 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwtranq       satex  satex_chan   sw_change     lagsurf     laglatq   lagsatex 
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2005       5       5  hru05               1092.880       0.000       0.000       6.870       0.416       7.287       0.000     996.982      99.206     892.849       4.927       6.870      40.483      56.132     144.744      51.325       6.295       0.000       0.000       0.000    1261.690       0.000       0.000       0.000       0.000       0.000       6.870       0.000       0.000       0.416       0.000       0.000       0.000       0.000       0.000      88.612       1.687       0.995       0.000
   365    12    31  2005       6       6  hru06               1092.880       0.000       0.000       6.870       0.044       6.915       0.000     996.666      99.206     892.346       5.113       6.870      40.483      56.189     145.489      51.330       8.416       0.000       0.000       0.000    1261.683       0.000       0.000       0.000       0.000       0.000       6.870       0.000       0.000       0.044       0.000       0.000       0.000       0.000       0.000      89.300       2.126       0.107       0.000
   365    12    31  2005       7       7  hru07               1092.880       0.000       0.000      51.242       0.075      51.317       0.000     954.747      99.206     852.605       2.937      51.242      61.724      56.237     143.052      43.967       7.154       0.000       0.000       0.000    1261.682       0.000       0.000       0.000       0.000       0.000      51.242       0.000       0.000       0.075       0.000       0.000       0.000       0.000       0.000      86.815      17.507       0.181       0.000
   365    12    31  2005       8       8  hru08               1092.880       0.000       0.000       6.870       0.157       7.028       1.553     995.744      99.206     893.192       3.346       6.870      40.483      56.181     144.736      51.133       7.167       0.000       0.000       0.000    1261.665       0.000       0.000       0.000       0.000       0.000       6.870       0.000       0.000       0.157       0.000       0.000       0.000       0.000       0.000      88.555       1.917       0.376       0.000
   365    12    31  2005       9       9  hru09               1092.880       0.000       0.000      30.908       0.260      31.168       0.000     973.409      99.206     870.775       3.427      30.908      54.545      56.602     144.906      48.177      12.992       0.000       0.000       0.000    1261.666       0.000       0.000       0.000       0.000       0.000      30.908       0.000       0.000       0.260       0.000       0.000       0.000       0.000       0.000      88.304       4.606       0.621       0.000
   365    12    31  2005      10      10  hru10               1092.880       0.000       0.000      48.398       0.039      48.437       0.000     955.101       8.397     309.125     637.580      48.398      60.475      63.836     153.178      57.335       8.862       0.000       0.000       0.000    1261.690       0.000       0.000       0.000       0.000       0.000      48.398       0.000       0.000       0.039       0.000       0.000       0.000       0.000       0.000      89.342       0.164       0.092       0.000
   365    12    31  2005      11      11  hru11               1092.880       0.000       0.000      48.398       0.315      48.714       0.000     955.219       8.391     328.794     618.034      48.398      60.475      64.337     153.284      63.491       6.633       0.000       0.000       0.000    1261.695       0.000       0.000       0.000       0.000       0.000      48.398       0.000       0.000       0.315       0.000       0.000       0.000       0.000       0.000      88.947       0.090       0.754       0.000
   365    12    31  2005      12      12  hru12               1092.880       0.000       0.000      89.369       0.239      89.608       0.000     920.621       8.395     305.808     606.418      89.368      69.887      65.044     147.697      59.893      13.598       0.000       0.000       0.000    1261.665       0.000       0.000       0.000       0.000       0.000      89.368       0.000       0.000       0.239       0.000       0.000       0.000       0.000       0.000      82.652       0.018       0.571       0.000
   365    12    31  2005      13      13  hru13               1092.880       0.000       0.000      48.398       0.184      48.582      62.977     927.893       8.391     374.925     544.578      48.398      60.475     101.382     154.810     103.206       8.036       0.000       0.000       0.000    1261.673       0.000       0.000       0.000       0.000       0.000      48.398       0.000       0.000       0.184       0.000       0.000       0.000       0.000       0.000      53.427       0.104       0.439       0.000
   365    12    31  2005      14      14  hru14               1092.880       0.000       0.000       6.870       0.369       7.239       0.000     996.995      99.206     890.927       6.862       6.870      40.483      56.074     144.720      51.084       6.286       0.000       0.000       0.000    1261.689       0.000       0.000       0.000       0.000       0.000       6.870       0.000       0.000       0.369       0.000       0.000       0.000       0.000       0.000      88.646       1.476       0.882       0.000
