 FINAL_TRY                
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982     312    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     313    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     314    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     315    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     316    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     317    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     318    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     319    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     320    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     321    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     322    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     323    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     324    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     325    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     326    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     327    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     328    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     329    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     330    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     331    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     332    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     333    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     334    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     335    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     336    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     337    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     338    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     339    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     340    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     341    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     342    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     343    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     344    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     345    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     346    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     347    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     348    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     349    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     350    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     351    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     352    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     353    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     354    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     355    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     356    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     357    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     358    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     359    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     360    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     361    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     362    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     363    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     364    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     365    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     366    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     367    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     368    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     369    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     370    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     371    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     372    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     373    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     374    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     375    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     376    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     377    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     378    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     379    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     380    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     381    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     382    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     383    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     384    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     385    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     386    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     387    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     388    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     389    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     390    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     391    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     392    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     393    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     394    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     395    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     396    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     397    shrb                        0.000       0.000       0.000       0.000
    67     3     8  1982     398    past                        0.000       0.000       0.000       0.000
