 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982      73      73  hru073         0.000       0.000       2.729       1.908            0.000            0.000            0.000           12.356           17.899           -3.765            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      74      74  hru074         0.000       0.000       2.712       1.911            0.000            0.000            0.000           12.391           17.901           -3.764            3.043            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      75      75  hru075         0.000       0.000       2.397       1.976            0.000            0.000            0.000           12.539           17.885           -3.801            3.040            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      76      76  hru076         0.000       0.000       2.638       1.923            0.000            0.000            0.000           12.304           17.900           -3.773            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      77      77  hru077         0.000       0.000       2.260       1.500            0.000            0.000            0.000            8.385           13.795           -3.362            2.333            0.487            0.093            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      78      78  hru078         0.000       0.000       2.634       1.924            0.000            0.000            0.000           12.308           17.901           -3.772            3.043            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      79      79  hru079         0.000       0.000       2.784       1.900            0.000            0.000            0.000           12.419           17.897           -3.761            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      80      80  hru080         0.000       0.000       2.538       1.463            0.000            0.000            0.000            8.166           13.821           -3.353            2.338            0.482            0.092            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      81      81  hru081         0.000       0.000       2.290       1.497            0.000            0.000            0.000            8.354           13.806           -3.359            2.335            0.487            0.093            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      82      82  hru082         0.000       0.000       2.683       1.915            0.000            0.000            0.000           12.243           17.896           -3.773            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      83      83  hru083         0.000       0.000       4.125       1.642            0.000            0.000            0.000           12.210           17.668           -3.806            3.006            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      84      84  hru084         0.000       0.000       2.304       1.934            0.000            0.000            0.000           18.700           15.859           -3.444            2.695            0.505            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      85      85  hru085         0.000       0.000       2.630       1.867            0.000            0.000            0.000           17.087           15.911           -3.428            2.704            0.515            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      86      86  hru086         0.000       0.000       4.013       1.513            0.000            0.000            0.000           17.486           15.629           -3.472            2.659            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      87      87  hru087         0.000       0.000       2.487       1.897            0.000            0.000            0.000           17.627           15.887           -3.435            2.700            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      88      88  hru088         0.000       0.000       2.735       1.907            0.000            0.000            0.000           12.251           17.896           -3.768            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      89      89  hru089         0.000       0.000       4.130       1.637            0.000            0.000            0.000           12.238           17.656           -3.803            3.004            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      90      90  hru090         0.000       0.000       2.609       1.928            0.000            0.000            0.000           12.249           17.895           -3.780            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      91      91  hru091         0.000       0.000       2.641       1.923            0.000            0.000            0.000           12.260           17.896           -3.777            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      92      92  hru092         0.000       0.000       2.403       1.974            0.000            0.000            0.000           12.530           17.884           -3.802            3.039            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      93      93  hru093         0.000       0.000       2.297       1.935            0.000            0.000            0.000           18.685           15.855           -3.445            2.694            0.505            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      94      94  hru094         0.000       0.000       2.541       1.886            0.000            0.000            0.000           17.344           15.897           -3.433            2.701            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      95      95  hru095         0.000       0.000       2.487       1.897            0.000            0.000            0.000           17.615           15.888           -3.435            2.700            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      96      96  hru096         0.000       0.000       2.297       1.936            0.000            0.000            0.000           18.690           15.854           -3.445            2.694            0.505            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      97      97  hru097         0.000       0.000       2.396       1.976            0.000            0.000            0.000           12.540           17.885           -3.802            3.040            0.522            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      98      98  hru098         0.000       0.000       2.650       1.921            0.000            0.000            0.000           12.285           17.898           -3.774            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982      99      99  hru099         0.000       0.000       2.693       1.914            0.000            0.000            0.000           12.244           17.895           -3.773            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     100     100  hru100         0.000       0.000       4.129       1.636            0.000            0.000            0.000           12.265           17.656           -3.800            3.004            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     101     101  hru101         0.000       0.000       2.717       1.910            0.000            0.000            0.000           12.255           17.896           -3.770            3.042            0.525            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     102     102  hru102         0.000       0.000       2.703       1.852            0.000            0.000            0.000           16.818           15.913           -3.427            2.704            0.516            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     103     103  hru103         0.000       0.000       2.873       1.886            0.000            0.000            0.000           12.345           17.890           -3.762            3.041            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     104     104  hru104         0.000       0.000       2.894       1.884            0.000            0.000            0.000           12.392           17.892           -3.754            3.042            0.527            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     105     105  hru105         0.000       0.000       2.940       1.811            0.000            0.000            0.000           16.010           15.951           -3.415            2.711            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     106     106  hru106         0.000       0.000       2.886       1.884            0.000            0.000            0.000           12.389           17.891           -3.758            3.041            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     107     107  hru107         0.000       0.000       2.881       1.885            0.000            0.000            0.000           12.427           17.893           -3.756            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     108     108  hru108         0.000       0.000       2.937       1.812            0.000            0.000            0.000           16.130           15.947           -3.417            2.710            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     109     109  hru109         0.000       0.000       2.641       1.923            0.000            0.000            0.000           12.273           17.899           -3.774            3.042            0.524            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     110     110  hru110         0.000       0.000       2.796       1.898            0.000            0.000            0.000           12.347           17.897           -3.760            3.042            0.526            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     111     111  hru111         0.000       0.000       2.949       1.875            0.000            0.000            0.000           12.421           17.889           -3.753            3.041            0.527            0.100            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     112     112  hru112         0.000       0.000       3.010       1.799            0.000            0.000            0.000           15.979           15.947           -3.416            2.710            0.521            0.099            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     113     113  hru113         0.000       0.000       2.229       1.951            0.000            0.000            0.000           19.230           15.839           -3.449            2.691            0.502            0.095            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     114     114  hru114         0.000       0.000       2.297       1.935            0.000            0.000            0.000           18.693           15.854           -3.445            2.694            0.504            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     115     115  hru115         0.000       0.000       2.456       1.904            0.000            0.000            0.000           17.818           15.879           -3.438            2.698            0.510            0.097            0.000            0.000            0.000            0.000            0.000            0.000
