 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0320         ru      aqu           8 rhg   1.000000       1441204.      0.0000000E+00  0.0000000E+00  0.0000000E+00   72972.45      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0330         ru      sdc          33 tot   1.000000      2.4338494E+07   23175.19       91124.45       19883.83       14465.26       1683.511       58736.79      0.0000000E+00  0.0000000E+00  5.2474557E+09   1394351.      3.1130624E-04  3.1130624E-04  3.1130624E-04  3.1130624E-04  3.1130624E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0330         ru      aqu           8 rhg   1.000000       1172699.      0.0000000E+00  0.0000000E+00  0.0000000E+00   58888.14      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0340         ru      sdc          34 tot   1.000000       1453715.       1363.435       5286.506       1155.409       725.6957       83.68339       3381.375      0.0000000E+00  0.0000000E+00  3.0846006E+08   71031.12      2.6622176E-04  2.6622176E-04  2.6622176E-04  2.6622176E-04  2.6622176E-04  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0340         ru      aqu           7 rhg   1.000000       70042.41      0.0000000E+00  0.0000000E+00  0.0000000E+00   3526.388      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000076    
          67           3           8        1982 rtu0350         ru      sdc          35 tot   1.000000      2.5309316E+07   23070.51       132466.3       24802.25       19711.49       1719.262       87621.50      0.0000000E+00  0.0000000E+00  8.2075781E+09   1675798.      6.2368164E-04  6.2368164E-04  6.2368164E-04  6.2368164E-04  6.2368164E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0350         ru      aqu           7 rhg   1.000000       1910991.      0.0000000E+00  0.0000000E+00  0.0000000E+00   71032.85      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0360         ru      sdc          36 tot   1.000000      2.5578364E+07   22728.80       130722.7       24471.26       19982.32       1741.064       86619.95      0.0000000E+00  0.0000000E+00  8.0570061E+09   1688615.      3.1113139E-04  3.1113139E-04  3.1113139E-04  3.1113139E-04  3.1113139E-04  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0360         ru      aqu           5 rhg   1.000000       1928150.      0.0000000E+00  0.0000000E+00  0.0000000E+00   70961.64      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0370         ru      sdc          37 tot   1.000000      2.5290922E+07   14976.07       87024.32       16256.60       15007.59       1798.595       57020.90      0.0000000E+00  0.0000000E+00  5.1772810E+09   1646448.      3.1047521E-04  3.1047521E-04  3.1047521E-04  3.1047521E-04  3.1047521E-04  0.0000000E+00   1.000000    
