 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0200         ru      aqu           2 rhg   1.000000       35035.81      0.0000000E+00  0.0000000E+00  0.0000000E+00   2116.781      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000906    
          67           3           8        1982 rtu0210         ru      sdc          21 tot   1.000000       5058689.       3212.771       34506.43       5587.370       13112.59       403.5628       28532.15      0.0000000E+00  0.0000000E+00  2.0813868E+09   703133.1      5.8185487E-05  5.8185487E-05  5.8185487E-05  5.8185487E-05  5.8185487E-05  0.0000000E+00   1.000001    
          67           3           8        1982 rtu0210         ru      aqu           2 rhg   1.000000       1429606.      0.0000000E+00  0.0000000E+00  0.0000000E+00   31832.71      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000012    
          67           3           8        1982 rtu0220         ru      sdc          22 tot   1.000000       7655424.       4062.877       44421.01       7190.380       18090.29       623.3022       37555.41      0.0000000E+00  0.0000000E+00  2.6614216E+09   1053076.      5.7373982E-05  5.7373982E-05  5.7373982E-05  5.7373982E-05  5.7373982E-05  0.0000000E+00   1.000000    
          67           3           8        1982 rtu0220         ru      aqu           2 rhg   1.000000       2159798.      0.0000000E+00  0.0000000E+00  0.0000000E+00   48091.23      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000008    
          67           3           8        1982 rtu0230         ru      sdc          23 tot   1.000000       5168459.       1938.161       11305.99       2109.343       2292.559       380.0676       7385.000      0.0000000E+00  0.0000000E+00  6.5868525E+08   320071.2      1.1757028E-04  1.1757028E-04  1.1757028E-04  1.1757028E-04  1.1757028E-04  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0230         ru      aqu           1 rhg   1.000000       384847.7      0.0000000E+00  0.0000000E+00  0.0000000E+00   14062.44      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000078    
          67           3           8        1982 rtu0240         ru      sdc          24 tot   1.000000       331206.5       326.6678       1849.707       346.7323       240.5287       20.20448       1215.086      0.0000000E+00  0.0000000E+00  1.1562765E+08   20089.61      5.4229014E-05  5.4229014E-05  5.4229014E-05  5.4229014E-05  5.4229014E-05  0.0000000E+00   1.000052    
          67           3           8        1982 rtu0240         ru      aqu           1 rhg   1.000000       24959.83      0.0000000E+00  0.0000000E+00  0.0000000E+00   916.2332      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.001176    
          67           3           8        1982 rtu0250         ru      sdc          25 tot   1.000000       5064782.       14463.57       105592.1       16260.67       11227.59       360.9441       91726.33      0.0000000E+00  0.0000000E+00  7.9888435E+09   692164.2      1.1731399E-04  1.1731399E-04  1.1731399E-04  1.1731399E-04  1.1731399E-04  0.0000000E+00   1.000002    
          67           3           8        1982 rtu0250         ru      aqu           2 rhg   1.000000       1427515.      0.0000000E+00  0.0000000E+00  0.0000000E+00   31785.45      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000013    
          67           3           8        1982 rtu0260         ru      sdc          26 tot   1.000000       1095907.       661.3072       7045.677       1140.651       2531.347       89.16367       5733.990      0.0000000E+00  0.0000000E+00  4.2790358E+08   150467.2      5.8943886E-05  5.8943886E-05  5.8943886E-05  5.8943886E-05  5.8943886E-05  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0260         ru      aqu           2 rhg   1.000000       309088.6      0.0000000E+00  0.0000000E+00  0.0000000E+00   6891.185      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000058    
          67           3           8        1982 rtu0270         ru      sdc          27 tot   1.000000       3163845.       1448.885       8397.182       1567.806       1530.995       229.9300       5441.501      0.0000000E+00  0.0000000E+00  4.9581382E+08   201190.4      1.1786548E-04  1.1786548E-04  1.1786548E-04  1.1786548E-04  1.1786548E-04  0.0000000E+00   1.000008    
          67           3           8        1982 rtu0270         ru      aqu           1 rhg   1.000000       235908.8      0.0000000E+00  0.0000000E+00  0.0000000E+00   8617.455      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000128    
          67           3           8        1982 rtu0280         ru      sdc          28 tot   1.000000       2908880.       1197.760       6957.667       1298.417       1330.096       212.8026       4495.009      0.0000000E+00  0.0000000E+00  4.0705638E+08   185027.0      1.1786932E-04  1.1786932E-04  1.1786932E-04  1.1786932E-04  1.1786932E-04  0.0000000E+00   1.000008    
          67           3           8        1982 rtu0280         ru      aqu           1 rhg   1.000000       216723.1      0.0000000E+00  0.0000000E+00  0.0000000E+00   7917.206      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000139    
          67           3           8        1982 rtu0290         ru      sdc          29 tot   1.000000       1013714.       428.5655       4620.487       747.6996       1810.510       86.17316       3773.261      0.0000000E+00  0.0000000E+00  2.7838285E+08   135422.2      1.1795819E-04  1.1795819E-04  1.1795819E-04  1.1795819E-04  1.1795819E-04  0.0000000E+00   1.000012    
          67           3           8        1982 rtu0290         ru      aqu           1 rhg   1.000000       284274.4      0.0000000E+00  0.0000000E+00  0.0000000E+00   6329.849      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000066    
          67           3           8        1982 rtu0300         ru      sdc          30 tot   1.000000       3044815.       921.9215       5348.000       998.1130       1103.810       227.1045       3509.352      0.0000000E+00  0.0000000E+00  3.1589869E+08   188008.0      1.7674861E-04  1.7674861E-04  1.7674861E-04  1.7674861E-04  1.7674861E-04  0.0000000E+00   1.000014    
          67           3           8        1982 rtu0300         ru      aqu           1 rhg   1.000000       225996.6      0.0000000E+00  0.0000000E+00  0.0000000E+00   8330.409      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000135    
          67           3           8        1982 rtu0310         ru      sdc          31 tot   1.000000       2935.868      0.1810572      0.7262543      0.1662579      0.5710773      0.1177512      0.5809308      0.0000000E+00  0.0000000E+00   40273.73       130.5488      5.6165874E-05  5.6165874E-05  5.6165874E-05  5.6165874E-05  5.6165874E-05  0.0000000E+00   1.002195    
