 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     67     3     8  1982     78       0  rtu0780                0.000       0.000       0.000     110.586      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.794       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     79       0  rtu0790                0.000       0.000       0.000     110.921      15.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000      57.282       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     80       0  rtu0800                0.000       0.000       0.000     111.163      15.065       0.000       0.000       0.000       0.000       0.000       0.000       0.000      38.859       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     81       0  rtu0810                0.000       0.000       0.000     111.006      15.061       0.000       0.000       0.000       0.000       0.000       0.000       0.000      59.595       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     82       0  rtu0820                0.000       0.000       0.000     110.532      15.063       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.796       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     83       0  rtu0830                0.000       0.000       0.000     110.483      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.978       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     84       0  rtu0840                0.000       0.000       0.000     110.857      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      21.728       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     85       0  rtu0850                0.000       0.000       0.000     108.060      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.779       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     86       0  rtu0860                0.000       0.000       0.000     110.277      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.841       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     87       0  rtu0870                0.000       0.000       0.000     110.456      15.064       0.000       0.000       0.000       0.000       0.000       0.000       0.000      69.928       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     88       0  rtu0880                0.000       0.000       0.000     107.495      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.240       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     89       0  rtu0890                0.000       0.000       0.000     108.320      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.621       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     90       0  rtu0900                0.000       0.000       0.000     114.090      15.618       0.000       0.000       0.000       0.000       0.000       0.000       0.000      73.191       0.000      22.189      12.954      17.571       0.913       0.781       0.879       0.420       0.000       0.000       0.000       0.000
     67     3     8  1982     91       0  rtu0910                0.000       0.000       0.000     110.242      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.138       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
