ID,NAME,LAT,LONG,ELEVATION
558,558_PCP,37,-6.062,6
559,559_PCP,37,-6,5
560,560_PCP,37,-5.938,14
561,561_PCP,37,-5.875,47
562,562_PCP,37,-5.813,80
563,563_PCP,37,-5.75,93
564,564_PCP,37,-5.688,101
565,565_PCP,36.999,-5.625,145
566,566_PCP,36.999,-5.563,220
567,567_PCP,36.999,-5.5,285
568,568_PCP,36.999,-5.438,316
569,569_PCP,36.998,-5.375,337
570,570_PCP,36.998,-5.313,399
571,571_PCP,36.998,-5.25,499
572,572_PCP,36.997,-5.188,570
573,573_PCP,36.996,-5.125,592
574,574_PCP,36.996,-5.063,593
575,575_PCP,36.995,-5,579
576,576_PCP,36.995,-4.938,526
577,577_PCP,36.994,-4.875,460
578,578_PCP,36.994,-4.813,432
579,579_PCP,36.993,-4.75,469
580,580_PCP,36.992,-4.688,562
581,581_PCP,36.991,-4.625,665
582,582_PCP,36.991,-4.563,732
583,583_PCP,36.99,-4.5,753
584,584_PCP,36.989,-4.438,776
585,585_PCP,36.988,-4.375,843
586,586_PCP,36.987,-4.313,946
587,587_PCP,36.986,-4.25,1030
588,588_PCP,36.985,-4.188,1065
589,589_PCP,36.984,-4.126,1071
590,590_PCP,36.983,-4.063,1081
591,591_PCP,36.982,-4.001,1070
592,592_PCP,36.981,-3.938,1009
593,593_PCP,36.98,-3.876,981
594,594_PCP,36.978,-3.813,1071
595,595_PCP,36.977,-3.751,1169
596,596_PCP,36.976,-3.688,1078
597,597_PCP,36.974,-3.626,892
598,598_PCP,36.973,-3.563,967
599,599_PCP,36.972,-3.501,1386
600,600_PCP,36.97,-3.439,1776
601,601_PCP,36.969,-3.376,1833
602,602_PCP,36.967,-3.314,1670
603,603_PCP,36.966,-3.251,1485
604,604_PCP,36.964,-3.189,1273
605,605_PCP,36.962,-3.126,968
606,606_PCP,36.961,-3.064,698
607,607_PCP,36.959,-3.002,699
608,608_PCP,36.958,-2.939,1003
609,609_PCP,36.956,-2.877,1324
610,610_PCP,36.954,-2.814,1389
611,611_PCP,36.952,-2.752,1247
612,612_PCP,36.95,-2.69,1078
613,613_PCP,36.948,-2.627,880
614,614_PCP,36.947,-2.565,584
615,615_PCP,36.944,-2.502,316
616,616_PCP,36.943,-2.44,293
617,617_PCP,36.941,-2.378,484
618,618_PCP,36.938,-2.315,600
619,619_PCP,36.936,-2.253,481
620,620_PCP,36.934,-2.19,279
621,621_PCP,36.932,-2.128,192
622,622_PCP,36.93,-2.066,189
623,623_PCP,36.928,-2.003,138
624,624_PCP,37.048,-6.625,29
625,625_PCP,37.049,-6.563,32
626,626_PCP,37.049,-6.5,26
627,627_PCP,37.049,-6.438,14
628,628_PCP,37.049,-6.375,6
629,629_PCP,37.05,-6.313,6
630,630_PCP,37.05,-6.25,8
631,631_PCP,37.05,-6.188,6
632,632_PCP,37.05,-6.125,6
633,633_PCP,37.05,-6.063,8
634,634_PCP,37.05,-6,9
635,635_PCP,37.05,-5.937,13
636,636_PCP,37.05,-5.875,26
637,637_PCP,37.05,-5.812,44
638,638_PCP,37.05,-5.75,63
639,639_PCP,37.05,-5.687,86
640,640_PCP,37.049,-5.625,133
641,641_PCP,37.049,-5.562,195
642,642_PCP,37.049,-5.5,244
643,643_PCP,37.049,-5.437,279
644,644_PCP,37.048,-5.375,327
645,645_PCP,37.048,-5.312,406
646,646_PCP,37.047,-5.25,474
647,647_PCP,37.047,-5.187,497
648,648_PCP,37.047,-5.125,495
649,649_PCP,37.046,-5.062,508
650,650_PCP,37.045,-4.999,535
651,651_PCP,37.045,-4.937,536
652,652_PCP,37.044,-4.874,494
653,653_PCP,37.044,-4.812,443
654,654_PCP,37.043,-4.749,432
655,655_PCP,37.042,-4.687,469
656,656_PCP,37.041,-4.624,526
657,657_PCP,37.041,-4.562,585
658,658_PCP,37.04,-4.499,642
659,659_PCP,37.039,-4.437,694
660,660_PCP,37.038,-4.374,771
661,661_PCP,37.037,-4.312,939
662,662_PCP,37.036,-4.249,1187
663,663_PCP,37.035,-4.187,1342
664,664_PCP,37.034,-4.124,1262
665,665_PCP,37.033,-4.062,1042
666,666_PCP,37.032,-3.999,893
667,667_PCP,37.031,-3.937,890
668,668_PCP,37.029,-3.874,960
669,669_PCP,37.028,-3.812,1027
670,670_PCP,37.027,-3.749,1021
671,671_PCP,37.026,-3.687,918
672,672_PCP,37.024,-3.624,874
673,673_PCP,37.023,-3.562,1161
674,674_PCP,37.022,-3.499,1789
675,675_PCP,37.02,-3.437,2374
676,676_PCP,37.019,-3.374,2562
677,677_PCP,37.017,-3.312,2392
678,678_PCP,37.016,-3.249,2104
679,679_PCP,37.014,-3.187,1800
680,680_PCP,37.013,-3.124,1487
681,681_PCP,37.011,-3.062,1247
682,682_PCP,37.009,-2.999,1195
683,683_PCP,37.008,-2.937,1288
684,684_PCP,37.006,-2.875,1340
685,685_PCP,37.004,-2.812,1241
686,686_PCP,37.002,-2.75,1053
687,687_PCP,37,-2.687,859
688,688_PCP,36.998,-2.625,647
689,689_PCP,36.996,-2.562,420
690,690_PCP,36.995,-2.5,298
691,691_PCP,36.992,-2.437,402
692,692_PCP,36.99,-2.375,670
693,693_PCP,36.988,-2.313,841
694,694_PCP,36.986,-2.25,748
695,695_PCP,36.984,-2.188,497
696,696_PCP,36.982,-2.125,310
697,697_PCP,36.98,-2.063,249
698,698_PCP,36.977,-2,210
699,699_PCP,36.975,-1.938,119
700,700_PCP,37.098,-6.688,40
701,701_PCP,37.098,-6.626,44
702,702_PCP,37.099,-6.563,37
703,703_PCP,37.099,-6.501,24
704,704_PCP,37.099,-6.438,13
705,705_PCP,37.099,-6.375,8
706,706_PCP,37.1,-6.313,6
707,707_PCP,37.1,-6.25,6
708,708_PCP,37.1,-6.188,6
709,709_PCP,37.1,-6.125,6
710,710_PCP,37.1,-6.063,8
711,711_PCP,37.1,-6,9
712,712_PCP,37.1,-5.937,8
713,713_PCP,37.1,-5.875,13
714,714_PCP,37.1,-5.812,29
715,715_PCP,37.1,-5.75,57
716,716_PCP,37.1,-5.687,84
717,717_PCP,37.099,-5.625,112
718,718_PCP,37.099,-5.562,146
719,719_PCP,37.099,-5.499,190
720,720_PCP,37.099,-5.437,249
721,721_PCP,37.098,-5.374,319
722,722_PCP,37.098,-5.312,375
723,723_PCP,37.097,-5.249,404
724,724_PCP,37.097,-5.186,430
725,725_PCP,37.096,-5.124,460
726,726_PCP,37.096,-5.061,474
727,727_PCP,37.096,-4.999,484
728,728_PCP,37.095,-4.936,499
729,729_PCP,37.094,-4.874,492
730,730_PCP,37.094,-4.811,453
731,731_PCP,37.093,-4.748,425
