date,Q,P,Q_interp,Q_filled
1981-08-09,0.0,4.331174427253814,0.0,0.0
1981-08-10,0.0,7.197778345524348,0.0,0.0
1981-08-11,0.0,2.1779001921178023,0.0,0.0
1981-08-12,0.0,1.7752235200784487,0.0,0.0
1981-08-13,0.0,3.0316115405445543,0.0,0.0
1981-08-14,0.0,0.674954089841771,0.0,0.0
1981-08-15,0.0,2.9808592950368635,0.0,0.0
1981-08-16,0.0,2.988719874196391,0.0,0.0
1981-08-17,0.0,2.1064474821045227,0.0,0.0
1981-08-18,0.0,2.215512796906788,0.0,0.0
1981-08-19,0.0,7.3804652053749,0.0,0.0
1981-08-20,0.0,3.0754997056695546,0.0,0.0
1981-08-21,0.0,1.7203439865709123,0.0,0.0
1981-08-22,0.0,0.44973574523820775,0.0,0.0
1981-08-23,0.0,3.6918260647037227,0.0,0.0
1981-08-24,0.0,0.96290297248765,0.0,0.0
1981-08-25,0.0,1.7365427375793572,0.0,0.0
1981-08-26,0.0,2.5903618258484014,0.0,0.0
1981-08-27,0.0,7.544727070720494,0.0,0.0
1981-08-28,0.0,5.327771103080972,0.0,0.0
1981-08-29,0.0,2.71082908691043,0.0,0.0
1981-08-30,0.0,7.254629777652481,0.0,0.0
1981-08-31,0.0,4.789759653622054,0.0,0.0
1981-09-01,0.0,0.23587928965537228,0.0,0.0
1981-09-02,0.0,7.0508379432340975,0.0,0.0
1981-09-03,0.0,2.792925356736102,0.0,0.0
1981-09-04,0.0,0.08389589492194843,0.0,0.0
1981-09-05,0.0,5.1608606663293894,0.0,0.0
1981-09-06,0.0,3.1231170210017565,0.0,0.0
1981-09-07,0.0,2.3016824601867545,0.0,0.0
1981-09-08,0.0,4.511248168903553,0.0,0.0
1981-09-09,0.0,2.319967264291048,0.0,0.0
1981-09-10,0.0,3.3169999624199367,0.0,0.0
1981-09-11,0.0,2.0777586829392747,0.0,0.0
1981-09-12,0.0,2.174409988861286,0.0,0.0
1981-09-13,0.0,0.6712701476161769,0.0,0.0
1981-09-14,0.0,3.553332054452056,0.0,0.0
1981-09-15,0.0,10.18367756064165,0.0,0.0
1981-09-16,0.0,1.7091969942351666,0.0,0.0
1981-09-17,0.0,0.9778199728749051,0.0,0.0
1981-09-18,0.0,1.3220590616318424,0.0,0.0
1981-09-19,0.0,0.4041560868269673,0.0,0.0
1981-09-20,0.0,1.943549830981451,0.0,0.0
1981-09-21,0.0,2.1199536816413587,0.0,0.0
1981-09-22,0.0,2.4255420030585086,0.0,0.0
1981-09-23,0.0,4.697989334808096,0.0,0.0
1981-09-24,0.0,1.233388815782245,0.0,0.0
1981-09-25,0.0,1.3395091564505779,0.0,0.0
1981-09-26,0.0,0.5588324174923088,0.0,0.0
1981-09-27,0.0,1.2247090009467902,0.0,0.0
1981-09-28,0.0,0.07899059494147552,0.0,0.0
1981-09-29,0.0,4.69815407978003,0.0,0.0
1981-09-30,0.0,0.7836991049620252,0.0,0.0
1981-10-01,0.0,0.8001666882214412,0.0,0.0
1981-10-02,0.0,2.5092811290489707,0.0,0.0
1981-10-03,0.0,0.9838729174839861,0.0,0.0
1981-10-04,0.0,0.874008540837061,0.0,0.0
1981-10-05,0.0,0.7096250409915472,0.0,0.0
