Año;Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Set;Oct;Nov;Dic
1985;21;0;0;0;0.2;0;0;0;0;0;4.1;0;5.1
1985;22;0;0;0;2;0;0;0;0;0;0.2;0;1.1
1985;23;1.2;53.5;0;1.8;0;0;0;0;0;0.2;0;0
1985;24;2.3;8.5;0;5.2;0.5;0;0;0;0;0;0;0.1
1985;25;1.4;16;0;2.7;0;0;0;0;0;0;0;6.2
1985;26;2.1;0.8;0.6;0;0;0;0;0;0;0;0;3.7
1985;27;0.3;3.2;0.2;0;0;0;0;0;0;0;0;4.2
1985;28;0.2;4.4;0.1;0;0.4;0;0.3;0;0;0;0;0.2
1985;29;1.3;;0;0;0;0;0;0;0;0;0;0.1
1985;30;0;;7.8;0;0;0;0;0;0.5;0;0;0
1985;31;1.2;;12.7;;2.2;;0;0;;0;;0
1986;1;0;7.7;2.2;1.4;1;0;0;0;0.2;0;0.5;0
1986;2;0;0.5;1.2;4.3;0.7;0;0;0;1.3;1.3;0.8;0
1986;3;0.5;0;1.4;0.8;0.3;0;0;0;0;0;0.3;0
1986;4;4;6.6;0;14.9;1.1;0;0;0;0;0;10.8;0
1986;5;12.8;12.6;9.7;32.5;1.3;0;0;0;0;0;0.5;1.9
1986;6;5.9;3.5;54.8;21.3;0.7;0;0;0;0;3.1;0;0
1986;7;1.1;4.5;1.9;23.7;0;0;0;0;0;0.5;0;0.7
1986;8;2.5;2.3;0.9;5.5;0;0;0;0;0;0;0;0.6
1986;9;0;6.5;0.3;1.2;0.8;0;0;0;0;0;2.6;0.2
1986;10;0.1;1.2;3.5;3.5;0;0;0;0;0;0;1.4;0
1986;11;4.2;0.2;0;0.8;0;0;0;0;0;0;0;0
1986;12;0.3;2.2;0;1.7;0.6;0;0;0;0;0;0;0.8
1986;13;2.4;22.9;0;0.3;0.2;0;0;1.4;0;0;0;4.6
1986;14;2.1;8;0;3.3;0;0;0;0;0;0;0;0.6
1986;15;5.8;21.1;0;7;0;0;0;0;0;0;0;7.3
1986;16;7.9;4.8;0.4;18.5;0;0;0;0;0;0;0;6.6
1986;17;5.4;15.7;0.4;9.1;0.5;0;0;0;0;0;9.1;2.9
1986;18;15.9;11.4;0;16;0;0;0;4.2;0;0;3;0.4
1986;19;8.4;0.5;0;42.4;0;0;0;2.7;0;0;5.6;0
1986;20;0;0.1;0;1.2;0;0;0;5.8;0;0.4;2.4;0.8
1986;21;0.2;1.5;0.3;3.8;0;0;0;0;0;0;0.5;6.6
1986;22;0.3;17.6;5.1;1.8;0.2;0;0;0;0;1.4;4.2;5.9
1986;23;2.9;4.9;0.1;3.7;1.1;0;0;0;0.4;0;0;3.5
1986;24;11;13.8;0.5;0;1.8;0;0;0;1.4;0;0.5;16.9
1986;25;2.9;0.4;0.8;2.9;0.3;0;0;0;1.6;0.5;0.1;5.7
1986;26;4.3;0.1;0;4.5;1.5;0;0;0.1;0;1.8;0;4.5
1986;27;16;8.8;0.2;10.6;0;0;0;0.1;0;0.6;0;4.5
1986;28;0.1;0.1;0;0.7;0;0;0;0;0;0;0;5.5
1986;29;0.2;;5.1;3.5;0.9;0;0;0;2.1;0;0;0
1986;30;2.4;;1.9;1.5;0;0;0;0;0;0;0;3.3
1986;31;2.7;;1.9;;0;;0;0;;0;;0
1987;1;0.1;1.3;1.2;9.1;0.4;0;0;0.5;0;2.2;0;0.1
1987;2;0.9;1.2;11.7;0;0;0.3;0.4;0.8;0;21.4;0;0.1
1987;3;2.9;2;18.4;0.2;0.2;0;0.8;0;0;2.2;0;0.4
1987;4;1.8;0;36.3;0.8;3.7;0;0;0;0;2.2;0;2.4
1987;5;12.2;0.2;14.8;21.4;0;0;0;0;0;0.1;0;1
1987;6;8.9;0;20.8;0;1;0;0;0;0;0.1;0;0
1987;7;6.9;2.7;2.8;0;0.7;0;0;0;0.2;0.1;0;0
1987;8;7.1;3.2;16.7;3.2;0;0;0;0;0;0;0;0
1987;9;5.5;0.3;41.9;0.2;0;0;0;0;0;0.7;0;0.8
1987;10;2.7;0.9;0.5;3;0;0;0;0;0;0;0;0
1987;11;0.9;1.8;0.8;0.6;0;0;0.1;0;0;0.1;0;0.1
1987;12;0.1;9.2;17.3;0;0;0;1.4;0;0;0.7;0;0
1987;13;2;19.5;0.1;0;0;0;3.5;0;0;6;0.2;1
1987;14;0;17.8;0;0.7;0;0.2;2.3;0;0;0;7.3;6
1987;15;0;0;1.3;4;0.5;0;0.8;0;0;0;0.7;0
1987;16;0;0;0;24.2;6.3;0;0;0;0;0;0;0
1987;17;0;0.8;0;0.5;0;0;1.3;0;0.1;0;0.1;0
1987;18;0;8;0;0;0;0;0;0;0;0;0.2;0
1987;19;0.7;1.9;0;0;0;0;0;0;0;0;0;0
1987;20;5.2;4.7;0.1;0;0;0;0;0;0.3;0.1;0;0.8
1987;21;2.4;1;1.4;1.8;1;0;0;0;0;0;0;0
1987;22;46.4;0;0;24.1;0;0;0;0;0;0;0;0.3
1987;23;3.4;0;3.1;3.4;0;0;0;0;0;0;0;0
1987;24;4.5;0;4;0;0;0;0;0;0;0;0;0
1987;25;3.2;0.1;0.6;3;0.8;0;0;0;0;0;1.5;0.2
